nres,me,ma,name,sasa_sc,sasa_bb,mass_error,class,gyr,linearity
29,0.5882507,0.401607,2ba3A01,2148.0845,451.10223,-0.07114581,1,8.60877803110539,0.2968544148657031
29,0.21235178,0.22252104,3duzA04,2479.5615,679.5559,-0.062001653,6,9.472777169747841,0.32664748861199455
30,0.8017661,0.42823252,4jpzB02,3059.3923,326.27545,-0.079676144,1,13.330998012154078,0.4443666004051359
30,0.54634356,0.40140244,4l74A02,2481.97,513.0368,-0.06839712,1,9.72876563351835,0.324292187783945
30,0.20239793,0.29978752,2pm9A02,1973.4581,721.6989,-0.072465345,2,9.696257566857494,0.32320858556191645
30,-0.06694659,-0.02423354,2pffB06,3009.5344,726.7036,-0.075876474,6,13.138343611785832,0.4379447870595277
30,0.9447879,0.523574,1zmeC02,2890.7231,298.49573,-0.06976804,1,13.319229878480837,0.44397432928269454
30,0.62869084,0.53017664,3k3wA02,2247.927,446.98154,-0.07192435,1,8.658867822316045,0.28862892741053486
30,0.3445408,0.23912276,1zoyC01,2979.5203,596.20294,-0.068872504,1,13.505823212246717,0.4501941070748906
30,-0.074153766,0.014655745,3vw4A02,2244.536,654.4464,-0.07403284,1,10.349167805385017,0.34497226017950056
30,0.16916323,0.2810977,2wadA01,1993.941,628.9657,-0.069569655,6,9.552278299675002,0.3184092766558334
30,0.50916034,0.45593676,2epaA01,1968.6697,644.89404,-0.06807925,3,8.591022035358765,0.2863674011786255
30,0.31835487,0.4281339,3p2nB01,2070.9355,596.75586,-0.07082136,1,8.02154657800937,0.2673848859336457
30,0.14133638,0.26015675,1rmdA02,2380.247,631.3014,-0.0674247,3,9.371298273633954,0.3123766091211318
30,-0.37277165,-0.12362671,1n7dA02,2177.2424,989.0349,-0.062458307,4,12.194990426143587,0.4064996808714529
30,0.68399984,0.37002835,1dd4D01,2521.0962,442.0746,-0.07615071,1,10.413176642112925,0.3471058880704308
30,0.37475076,0.23844157,1kmiZ01,2635.8833,593.6767,-0.07258222,1,14.10779502051593,0.4702598340171977
30,0.6006961,0.34541368,1yycA01,2458.6675,476.16125,-0.074178874,1,13.14938562230754,0.438312854076918
30,0.5332996,0.29712462,3abqB02,2924.4158,485.26175,-0.074146576,6,13.601569429702936,0.45338564765676453
30,0.58784634,0.36452127,2adlA01,2504.68,498.00125,-0.071225934,1,11.395870133828133,0.3798623377942711
30,0.3768783,0.24736845,1y8aA03,2490.1794,684.57996,-0.0668238,6,10.804796496264691,0.36015988320882303
30,0.56694233,0.338955,2uz5A01,2650.473,529.39435,-0.073654965,6,12.402969850450974,0.4134323283483658
30,0.109997675,0.22210756,2py5A05,2247.3003,675.8008,-0.07057637,4,12.796459566669457,0.42654865222231525
30,0.6234881,0.5494596,1cp9A02,2026.2029,457.91727,-0.070369534,1,8.467496164462002,0.28224987214873337
30,0.8019878,0.39930612,1hn3A01,3167.1384,475.91162,-0.07704359,6,11.019886005455874,0.36732953351519576
30,-0.27914217,-0.11597734,1xkpA01,2774.9255,925.43024,-0.069769844,6,18.11443822128789,0.603814607376263
30,0.09241052,0.28557432,3d00A02,1878.347,692.87823,-0.071552604,3,8.637138226077774,0.2879046075359258
30,-0.030012261,0.15055852,1k8kA02,2003.113,663.96185,-0.07241925,2,9.16571037217171,0.3055236790723903
31,-0.058379445,0.15432858,4h6zA01,2325.0344,742.32825,-0.08258666,6,10.087092616567375,0.3253900844053992
31,0.380338,0.32444558,3b0bC01,2386.6052,749.2596,-0.07354397,1,9.583306327414393,0.30913891378756103
31,0.4165826,0.28040078,2ghjA01,2929.0354,560.7561,-0.07122842,1,11.41288138146135,0.36815746391810805
31,0.16324538,0.08327709,2g3aA01,2754.7263,693.24005,-0.06950669,1,12.154557006834514,0.3920824840914359
31,0.81193805,0.4614413,3r1fE02,2810.0576,486.55682,-0.07357153,6,10.2946653583754,0.3320859793024323
31,0.86650467,0.44820583,2j58A04,3015.6948,389.81464,-0.07444863,1,14.375082819888677,0.463712349028667
31,0.11184911,0.34802976,1d4vA02,2021.1384,772.93616,-0.06181968,2,9.516841980134853,0.30699490258499523
31,0.22732018,0.33051232,2lfuA01,1993.2401,784.77264,-0.068131715,6,9.397331820249159,0.3031397361370696
31,0.26504272,0.37212816,1wjpA01,2371.452,665.1155,-0.0690674,3,9.384196584962462,0.30271601886975685
31,0.11208595,0.31887078,1zmeC01,1904.5936,662.06195,-0.06956547,4,7.6479910729948655,0.24670938945144727
31,0.7894663,0.5276287,2ot2A02,2528.625,455.79086,-0.062221218,6,10.838210062884876,0.34961967944789923
31,0.45747948,0.45113996,2fsfB02,2291.4104,592.10754,-0.07241843,1,8.48919679954699,0.2738450580499029
31,0.28048718,0.29026505,1zhxA01,1985.9495,675.25073,-0.06595629,6,10.436725788165619,0.33666857381179416
32,0.45737243,0.49548578,7s03A02,2425.4358,528.3636,-0.07259878,1,8.601483345533724,0.2687963545479289
32,-0.0073562153,0.21728152,5u47A01,2009.455,720.08075,-0.07276656,2,9.582532155022538,0.2994541298444543
32,0.5723033,0.38744378,5o34A02,2845.4543,504.05734,-0.07067119,1,14.253841902320241,0.44543255944750754
32,-0.5002953,-0.037258808,3vtnA01,2798.2666,1017.93335,-0.072259285,2,12.019525646348502,0.3756101764483907
32,0.01790449,0.22132708,2zquA01,2068.459,640.57477,-0.068329334,2,9.187496996655264,0.287109281145477
32,-0.19907032,0.11182215,2bh8A02,2522.5676,934.6042,-0.07085535,6,12.992572378443622,0.4060178868263632
